Structure,,,,
,Dimension,Position,,
,Label,Label,,
,Frequency,Annual,,
,DECL,France,,
,DECL,Netherlands,,
,DECL,Germany,,
,DECL,Italy,,
,DECL,Ireland,,
,DECL,Denmark,,
,DECL,Greece,,
,DECL,Portugal,,
,DECL,Spain,,
,DECL,Belgium,,
,DECL,Luxembourg,,
,DECL,Iceland,,
,DECL,Norway,,
,DECL,Sweden,,
,DECL,Finland,,
,DECL,Austria,,
,DECL,Malta,,
,DECL,Latvia,,
,DECL,Lithuania,,
,DECL,Poland,,
,DECL,Czechia,,
,DECL,Slovakia,,
,DECL,Hungary,,
,DECL,Romania,,
,DECL,Bulgaria,,
,DECL,Slovenia,,
,DECL,Croatia,,
,DECL,EU27TOTALS_2020,,
,DECL,Cyprus,,
,PRCCODE,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",,
,INDICATORS,OWNPRODQNT,,
,INDICATORS,OWNPRODVAL,,
,INDICATORS,PRODQNT,,
,INDICATORS,PRODVAL,,
,TIME_PERIOD,2021,,
,TIME_PERIOD,2022,,
