Flavor,Percent,Responses
Cookie Dough,42.5,307
Cookies and Cream/Oreo,37.7,272
Mint Chocolate Chip,29.8,215
Birthday Cake/Butter,24.9,180
Coffee,22.7,171
Peanut Butter/PB cup,21.5,155
"Vanilla (French vanilla, van. bean, etc.)",20.8,150
Chocolate,20.1,145
Caramel/Salted Caramel,17.5,126
Strawberry,15.8,114
Moose Tracks,13.9,144
Butter Pecan,12.7,92
Rocky Road,12.1,90
S'mores,11.5,63
Pistachio,11.2,81
"Brownie (sundae, etc.)",10.7,142
Cherry/Black Cherry,10.1,73
Dulce de Leche,9.3,67
Banana/Ban. Pudding,8.3,60
Chocolate Chip,7.9,57
Tiramisu,7.8,56
Other (click to view),6.6,47
Raspberry,6.5,47
Lavender,6.1,44
Matcha,5.6,40
Peach,5.4,39
Lemon,5.0,36
All Others (click to expand),4.8,35
Red Velvet,4.6,33
Fudge Swirl/Royal,4.4,32
Green Tea,4.3,31
Peppermint,4.3,31
Praline,4.3,31
Toffee,4.2,30
Orange Vanilla,3.7,27
Maple,3.6,26
Blueberry,3.0,22
Neapolitan,3.0,22
